source_file,team_PA_BAL,team_PA_TB,team_PA_MIL,team_PA_NYY,team_PA_TOR,team_PA_OAK,team_PA_LAA,team_PA_BOS,team_PA_MIN,team_PA_KCR,team_PA_STL,team_PA_DET,team_BA_BAL,team_BA_TB,team_BA_MIL,team_BA_NYY,team_BA_TOR,team_BA_OAK,team_BA_LAA,team_BA_BOS,team_BA_MIN,team_BA_KCR,team_BA_STL,team_BA_DET,team_MaxOpp_BAL,team_MaxOpp_TB,team_MaxOpp_MIL,team_MaxOpp_NYY,team_MaxOpp_TOR,team_MaxOpp_OAK,team_MaxOpp_LAA,team_MaxOpp_BOS,team_MaxOpp_MIN,team_MaxOpp_KCR,team_MaxOpp_STL,team_MaxOpp_DET,top3_BAL,top3_TB,top3_MIL,top3_NYY,top3_TOR,top3_OAK,top3_LAA,top3_BOS,top3_MIN,top3_KCR,top3_STL,top3_DET
04_21_22_Game_13_BAL_OAK.xls,36,0,0,0,0,35,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,36,0,0,0,0,0,0,Austin Hays(+5); Rougned Odor(+3); Ryan Mountcastle(+2),,,,,Sean Murphy(+7); Sheldon Neuse(+4); Seth Brown(+1),,,,,,
04_22_22_Game_14_BAL_LAA.xls,38,0,0,0,0,0,33,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,55,0,0,0,0,0,35,0,0,0,0,0,RamA³n UrA-as(+5); Robinson Chirinos(+5); Austin Hays(+3),,,,,,Anthony Rendon(+4); Andrew Velazquez(+1); Jared Walsh(+1),,,,,
04_23_22_Game_15_BAL_LAA.xls,46,0,0,0,0,0,41,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,86,0,0,0,0,0,44,0,0,0,0,0,Austin Hays(+5); Ryan Mountcastle(+5); Rougned Odor(+3),,,,,,Brandon Marsh(+5); Andrew Velazquez(+1); Anthony Rendon(+0),,,,,
04_24_22_Game_16_BAL_LAA.xls,41,0,0,0,0,0,41,0,0,0,0,0,19,0,0,0,0,0,41,0,0,0,0,0,67,0,0,0,0,0,90,0,0,0,0,0,Trey Mancini(+9); Anthony Santander(+3); Cedric Mullins(+3),,,,,,Anthony Rendon(+10); Jared Walsh(+10); Taylor Ward(+10),,,,,
04_26_22_Game_17_BAL_NYY.xls,39,0,0,40,0,0,0,0,0,0,0,0,20,0,0,22,0,0,0,0,0,0,0,0,51,0,0,62,0,0,0,0,0,0,0,0,Anthony Santander(+8); Austin Hays(+5); Cedric Mullins(+2),,,Anthony Rizzo(+10); Gleyber Torres(+6); Giancarlo Stanton(+3),,,,,,,,
04_27_22_Game_18_BAL_NYY.xls,35,0,0,36,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,38,0,0,48,0,0,0,0,0,0,0,0,Anthony Santander(+2); Trey Mancini(+2); RamA³n UrA-as(+1),,,Giancarlo Stanton(+4); Aaron Judge(+1); Anthony Rizzo(+1),,,,,,,,
04_28_22_Game_19_BAL_NYY.xls,48,0,0,44,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,0,0,79,0,0,89,0,0,0,0,0,0,0,0,Austin Hays(+3); Kelvin GutiA(C)rrez(+3); Rougned Odor(+3),,,Aaron Judge(+10); Anthony Rizzo(+3); Giancarlo Stanton(+3),,,,,,,,
04_29_22_Game_20_BOS_BAL.xls,36,0,0,0,0,0,0,35,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,47,0,0,0,0,0,0,33,0,0,0,0,RamA³n UrA-as(+4); Austin Hays(+2); Anthony Bemboom(+0),,,,,,,Christian Arroyo(+3); Christian VA!zquez(+3); Franchy Cordero(+1),,,,
04_30_22_Game_21_BOS_BAL.xls,36,0,0,0,0,0,0,40,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,44,0,0,0,0,0,0,50,0,0,0,0,Robinson Chirinos(+3); Anthony Santander(+2); Tyler Nevin(+2),,,,,,,Rafael Devers(+4); Xander Bogaerts(+3); Enrique HernA!ndez(+1),,,,
05_01_22_Game_22_BOS_BAL.xls,43,0,0,0,0,0,0,42,0,0,0,0,32,0,0,0,0,0,0,22,0,0,0,0,97,0,0,0,0,0,0,69,0,0,0,0,Anthony Santander(+7); Anthony Bemboom(+5); Jorge Mateo(+5),,,,,,,J.D. Martinez(+8); Enrique HernA!ndez(+4); Franchy Cordero(+3),,,,
05_02_22_Game_23_MIN_BAL.xls,32,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,25,0,0,0,0,0,0,0,36,0,0,0,Anthony Santander(+1); RamA³n UrA-as(+1); Rougned Odor(+1),,,,,,,,Carlos Correa(+2); Ryan Jeffers(+2); Jorge Polanco(+1),,,
05_03_22_Game_24_MIN_BAL.xls,37,0,0,0,0,0,0,0,42,0,0,0,7,0,0,0,0,0,0,0,17,0,0,0,57,0,0,0,0,0,0,0,60,0,0,0,Trey Mancini(+4); Austin Hays(+2); Rougned Odor(+1),,,,,,,,Ryan Jeffers(+5); Jorge Polanco(+4); JosA(C) Miranda(+3),,,
05_04_22_Game_25_MIN_BAL.xls,37,0,0,0,0,0,0,0,34,0,0,0,23,0,0,0,0,0,0,0,10,0,0,0,51,0,0,0,0,0,0,0,48,0,0,0,Anthony Santander(+5); Austin Hays(+4); Ryan Mountcastle(+4),,,,,,,,Gary SA!nchez(+4); Nick Gordon(+2); Carlos Correa(+1),,,
05_05_22_Game_26_MIN_BAL.xls,35,0,0,0,0,0,0,0,38,0,0,0,-2,0,0,0,0,0,0,0,7,0,0,0,26,0,0,0,0,0,0,0,67,0,0,0,Anthony Santander(+0); Cedric Mullins(+0); Jorge Mateo(+0),,,,,,,,Byron Buxton(+3); JosA(C) Miranda(+3); Carlos Correa(+1),,,
05_08_22_Game_27_KCR_BAL.xls,43,0,0,0,0,0,0,0,0,42,0,0,13,0,0,0,0,0,0,0,0,20,0,0,78,0,0,0,0,0,0,0,0,73,0,0,Ryan Mountcastle(+6); Rougned Odor(+5); Austin Hays(+2),,,,,,,,,Nicky Lopez(+4); Salvador Perez(+4); Edward Olivares(+3),,
