BatTeam,Batter,PA,BA,MaxOpp,BA_per_MaxOpp
TOR,Vladimir Guerrero Jr.,4,0,2,0
STL,Tyler O'Neill,8,-1,17,-0.058823529411764705
BOS,Alex Verdugo,9,-1,15,-0.06666666666666667
LAA,Matt Duffy,5,-1,12,-0.08333333333333333
LAA,Shohei Ohtani,14,-1,11,-0.09090909090909091
LAA,Jack Mayfield,3,-1,9,-0.1111111111111111
MIL,Willy Adames,9,-1,9,-0.1111111111111111
DET,Javier BA!ez,12,-2,16,-0.125
TOR,Bo Bichette,5,-2,15,-0.13333333333333333
STL,Dylan Carlson,11,-2,12,-0.16666666666666666
TOR,Alejandro Kirk,4,-1,5,-0.2
MIL,Lorenzo Cain,5,-2,8,-0.25
